Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\RfClownV2\Project Outputs for RfClownV2\Pick Place for RfClownV2-pcb.csv

========================================================================================================================
File Design Information:

Date:       25/10/25
Time:       20:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U?4","SW-SMD_L6.0-W6.0-P6.00-LS6.6","TopLayer","SW-SMD_L6.0-W6.0-P6.00-LS6.6","107.8230","73.6600","180",""
"U?3","SW-SMD_L6.0-W6.0-P6.00-LS6.6","TopLayer","SW-SMD_L6.0-W6.0-P6.00-LS6.6","118.3560","73.6600","180",""
"U?2","SW-SMD_L6.0-W6.0-P6.00-LS6.6","TopLayer","SW-SMD_L6.0-W6.0-P6.00-LS6.6","128.5240","73.6600","180",""
"R13","1k","TopLayer","RES_0805_(2012X06L)","96.3930","87.8210","90","RESISTOR"
"J5","SMA","BottomLayer","SAMTEC_SMA-J-P-H-ST-EM1","82.4340","110.6440","0","SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder"
"J4","SMA","BottomLayer","SAMTEC_SMA-J-P-H-ST-EM1","105.8866","110.6440","0","SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder"
"J3","SMA","BottomLayer","SAMTEC_SMA-J-P-H-ST-EM1","129.3393","110.6440","0","SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder"
"J2","SMA","BottomLayer","SAMTEC_SMA-J-P-H-ST-EM1","152.7920","110.6440","0","SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder"
"D1","LED RGB WS2812","TopLayer","LED_5050_WS2812B","100.0760","87.8840","90","LED"
"ANT4","ANT U.FL","BottomLayer","U.FL_SMD","82.4322","106.0069","360","Antenna"
"ANT3","ANT U.FL","BottomLayer","U.FL_SMD","105.8848","106.0069","360","Antenna"
"ANT2","ANT U.FL","BottomLayer","U.FL_SMD","129.3375","106.0069","360","Antenna"
"ANT1","ANT U.FL","BottomLayer","U.FL_SMD","152.7902","106.0069","360","Antenna"
"U8","NRF24L01","TopLayer","NRF24L01_GT24MINI_MS","148.5420","63.9780","360","2.4GHz Transceiver MODULE, SMD"
"U7","NRF24L01","TopLayer","NRF24L01_GT24MINI_MS","148.5420","80.8690","360","2.4GHz Transceiver MODULE, SMD"
"U6","NRF24L01","TopLayer","NRF24L01_GT24MINI_MS","148.5420","97.7600","360","2.4GHz Transceiver MODULE, SMD"
"C21","Capacitor Tantalum SMD","TopLayer","Tan_1206_(3216X18L)_Size_A","144.1450","94.6898","90","Capacitor Tantalum SMD"
"C20","Capacitor Tantalum SMD","TopLayer","Tan_1206_(3216X18L)_Size_A","144.1450","77.7988","90","Capacitor Tantalum SMD"
"C19","Capacitor Tantalum SMD","TopLayer","Tan_1206_(3216X18L)_Size_A","144.1450","60.9078","90","Capacitor Tantalum SMD"
"U4","LF33","BottomLayer","D-PACK","139.8500","82.5750","180","3.3V VOLTAGE REGULATOR"
"SW1","SlideSwitch","BottomLayer","SWSLIDT_SPDT_MSS3","69.3610","60.4520","270","SWITCH, SLIDE, SPDT, SMD"
"STD","LED","TopLayer","L0805","102.1560","52.0090","90","LED"
"R12","1k","BottomLayer","RES_0805","86.0450","73.0250","270","RESISTOR"
"R11","1k","BottomLayer","RES_0805","98.8670","75.3110","90","RESISTOR"
"R10","1k","BottomLayer","RES_0805","98.8670","73.0250","90","RESISTOR"
"IC1","TP4056","BottomLayer","SOP-8","92.4530","74.2850","0","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger"
"CHG","LED","TopLayer","L0805","104.5690","52.0090","90","LED"
